advanced,IPA,Từ loại,Nghĩa Tiếng Việt,Nghĩa Tiếng Anh,Ví dụ,Nghĩa ví dụ,Ví dụ,Nghĩa ví dụ,Trình độ,Audio từ vựng,Ảnh từ vựng,Ảnh ví dụ,Ảnh ví dụ,Đục lỗ ví dụ,Đục lỗ ví dụ,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,topic
head,/hed/,verb,"đi về hướng, lãnh đạo",to move in a particular direction; to be in charge of something,She nodded her head in agreement.,Cô ấy gật đầu đồng ý.,She heads the marketing department.,Cô ấy lãnh đạo bộ phận tiếp thị.,B1,,,,,She nodded _____________ in agreement.,She _____________ the marketing department.,intuitive,"Trực quan, dễ hiểu",income,"Thu nhập, nguồn thu",debt,Khoản nợ.,freelance,làm việc tự do,sanction,"biện pháp trừng phạt, lệnh trừng phạt",Metaphor: seeing the light
jungle,/ˈdʒʌŋɡl/,noun,rừng rậm nhiệt đới,an area of tropical forest where trees and plants grow very thickly,Tigers are apex predators in the jungle.,Hổ là động vật săn mồi đầu bảng trong rừng rậm.,The explorers had to cut their way through the dense jungle with machetes.,Các nhà thám hiểm phải dùng dao rựa để phát quang con đường xuyên qua rừng rậm rậm rạp.,B1,,,,,Tigers are apex predators in the _____________.,The explorers had to cut their way through the dense _____________ with machetes.,bomb,quả bom,fossil fuel,Nhiên liệu hóa thạch,brochure,"Tờ rơi, sách mỏng giới thiệu (du lịch)",charge,Sạc điện; tính phí,capital,Vốn.,Metaphor: seeing the light
bright,/braɪt/,adjective,"Sáng, chói sáng",Full of light; shining strongly.,The office looks more energetic with bright lighting.,Văn phòng trông tràn đầy năng lượng hơn với ánh sáng sáng.,The moon was very bright last night.,Đêm qua trăng rất sáng.,A2,,,,,The office looks more energetic with _____________ lighting.,The moon was very _____________ last night.,late,"muộn, trễ",overpass,cầu vượt,carbon footprint,Dấu chân carbon,bullying,"Sự bắt nạt, bạo hành",masterpiece,Kiệt tác,Metaphor: seeing the light
flood,/flʌd/,noun,"Lũ lụt, ngập lụt",A large amount of water covering an area that is usually dry.,The heavy rains caused severe floods.,"Mưa lớn đã gây ra lũ lụt, tràn ngập nghiêm trọng.",Many families were evacuated due to the flood.,Nhiều gia đình được sơ tán do lũ lụt.,B1,,,,,The heavy rains caused severe _____________.,Many families were evacuated due to the _____________.,continuously,một cách liên tục,national park,vườn quốc gia,eco-friendly,Thân thiện với môi trường,ignorant,Thiếu hiểu biết,image,Hình ảnh,Metaphor: seeing the light
mouth,/maʊθ/,noun,miệng,the opening in the face used for speaking and eating,Open your mouth wide so the dentist can see your teeth.,Mở miệng to để bác sĩ có thể nhìn thấy răng của bạn.,The news spread by word of mouth throughout the office.,Tin tức lan truyền bằng đường truyền miệng trong khắp văn phòng.,A1,,,,,Open your _____________ wide so the dentist can see your teeth.,The news spread by word of _____________ throughout the office.,earth,"trái đất, đất",guy,"anh chàng, gã",freezing,"Băng giá, rất lạnh",count,"đếm, tính toán",genius,Thiên tài.,Metaphor: seeing the light
profitably,/ˈprɒfɪtəbli/,adverb,một cách có lợi nhuận,in a way that makes or is likely to make a profit,The company has been operating profitably for five years.,Công ty đã hoạt động có lãi trong năm năm.,We need to use our resources more profitably.,Chúng ta cần sử dụng tài nguyên của mình một cách sinh lời hơn.,B2,,,,,The company has been operating _____________ for five years.,We need to use our resources more _____________.,alternative,Sự lựa chọn,earth,"trái đất, đất",climate change,Biến đổi khí hậu,look up,"ngẩng lên, tra cứu, cải thiện",nutrition,dinh dưỡng,Metaphor: seeing the light
rule of thumb,/ˌruːl əv ˈθʌm/,idiom,quy tắc kinh nghiệm,A practical and approximate method based on experience,A good rule of thumb is to study two hours for every exam hour.,Một quy tắc kinh nghiệm tốt là học hai giờ cho mỗi giờ thi.,"As a rule of thumb, arrive ten minutes early for interviews.","Theo quy tắc kinh nghiệm, hãy đến sớm mười phút cho các buổi phỏng vấn.",B2,,,,,A good _____________ is to study two hours for every exam hour.,"As a _____________, arrive ten minutes early for interviews.",hit it off,hợp nhau ngay từ đầu,accessory,Phụ kiện,pacifism,"chủ nghĩa hòa bình, chủ nghĩa phản đối chiến tranh",comprehensive,"toàn diện, bao quát",underscore,Nhấn mạnh,Metaphor: seeing the light
light up,/laɪt ʌp/,phrasal verb,"Thắp sáng, bừng sáng",Illuminate or become bright,Her face lit up when she saw the surprise.,Khuôn mặt cô ấy bừng sáng khi thấy bất ngờ.,Her smile lit up the entire room as she entered.,Nụ cười của cô ấy đã thắp sáng cả căn phòng khi cô bước vào.,B1,,,,,Her face _____________ when she saw the surprise.,Her smile _____________ the entire room as she entered.,get into,trở nên hứng thú với một hoạt động hoặc chủ đề,delivery,sự giao hàng,take,"lấy, mang, đưa",crowd,đám đông,post,Đăng tải (lên mạng),Metaphor: seeing the light
heart,/hɑːt/,noun,tim,The hollow muscular organ that pumps the blood through the circulatory system.,The doctor listened to her heart with a stethoscope.,Bác sĩ đã lắng nghe tim của cô ấy bằng ống nghe.,The heart of the problem is a lack of communication.,Cốt lõi của vấn đề là thiếu giao tiếp.,A2,,,,,The doctor listened to her _____________ with a stethoscope.,The _____________ of the problem is a lack of communication.,thin,mỏng,get into,trở nên hứng thú với một hoạt động hoặc chủ đề,staff,nhân viên,distant,"xa xôi (về không gian, thời gian)",stock market,thị trường chứng khoán,Metaphor: seeing the light
stream,/striːm/,Verb,phát trực tuyến,to play video or sound on a computer directly from the internet rather than downloading it,You can stream the album for free on their website.,Bạn có thể phát trực tuyến album miễn phí trên trang web của họ.,More people now stream music than buy CDs.,Ngày nay nhiều người phát nhạc trực tuyến hơn là mua CD.,B1,,,,,You can _____________ the album for free on their website.,More people now _____________ music than buy CDs.,amber,hổ phách,underlying,"cơ bản, tiềm ẩn; nằm bên dưới",compromise,"làm tổn hại, gây nguy hiểm",inconsistent,"không nhất quán, mâu thuẫn",monitor,"lớp trưởng, cán bộ lớp",Metaphor: seeing the light
be made for,bi ˈmeɪd fə(r),phrase,sinh ra là để cho,to be ideally suited,They are made for each other.,Họ sinh ra là dành cho nhau.,This job is made for you.,Công việc này phù hợp hoàn hảo với bạn.,C1,,,,,They are _____________ each other.,This job is _____________ you.,pay dividends,mang lại kết quả tốt,roster,danh sách phân công,ovenproof,chịu được nhiệt độ lò nướng,overstep the mark,vượt quá giới hạn,lisp,nói ngọng,Idioms for everyday situations and feelings
down in the dumps,ˌdaʊn ɪn ðə ˈdʌmps,phrase,buồn bã,sad,He has been down in the dumps all week.,Anh ấy buồn bã cả tuần.,I feel a bit down in the dumps.,Tôi cảm thấy hơi chán nản.,C1,,,,,He has been _____________ all week.,I feel a bit _____________.,blow hot and cold,sáng nắng chiều mưa,tabby,mèo mướp,soundproof,cách âm,rethink,suy nghĩ lại,mumble,nói lầm bầm,Idioms for everyday situations and feelings
down in the mouth,ˌdaʊn ɪn ðə ˈmaʊθ,phrase,buồn rầu,sad,She looks down in the mouth.,Cô ấy trông ủ rũ.,He was down in the mouth about the result.,Anh ấy buồn rầu về kết quả.,C1,,,,,She looks _____________.,He was _____________ about the result.,cast light on,làm sáng tỏ,Viking,người Viking,tax-free,miễn thuế,claimant,người yêu cầu bồi thường,mutter,"lầm bầm, càu nhàu",Idioms for everyday situations and feelings
fall into place,ˌfɔːl ˌɪntə ˈpleɪs,phrase,diễn ra suôn sẻ,to become clear,Suddenly everything fell into place.,Đột nhiên mọi thứ diễn ra suôn sẻ.,The pieces are falling into place.,Các mảnh ghép đang đâu vào đấy.,C1,,,,,Suddenly everything _____________.,The pieces are _____________.,cold-hearted,tàn nhẫn,do out,trang trí,washable,có thể giặt được,contestant,người dự thi,raise ones voice,lớn tiếng,Idioms for everyday situations and feelings
fed up to the back teeth with,ˌfed ʌp tə ðə ˌbæk ˈtiːθ wɪð,phrase,chán ngấy,extremely fed up,I'm fed up to the back teeth with his constant complaints.,Tôi chán ngấy đến tận cổ những lời phàn nàn liên tục của anh ta.,She is fed up to the back teeth with her boring job.,Cô ấy bực bội đến tận cổ với công việc nhàm chán của mình.,C1,,,,,I'm _____________ his constant complaints.,She is _____________ her boring job.,dim,kém thông minh,look out for,tìm kiếm,waterproof,chống nước,informant,người cung cấp thông tin,shout,"hét lên, la to",Idioms for everyday situations and feelings
get ones wires crossed,ˌɡet wʌnz ˌwaɪəz ˈkrɒst,phrase,hiểu lầm nhau,to misunderstand,I think we got our wires crossed.,Tôi nghĩ chúng ta đã hiểu lầm nhau.,We had our wires crossed about the meeting.,Chúng tôi đã lẫn lộn về cuộc họp.,C1,,,,,I think we _____________.,We _____________ about the meeting.,have an eye for,có con mắt tinh đời,lookout,trạm gác,docudrama,phim tài liệu giả tưởng,leisurely,thong thả,slur,nói líu nhíu,Idioms for everyday situations and feelings
like a dream,ˌlaɪk ə ˈdriːm,adverb,"rất tốt, hoàn hảo",very well,The operation went like a dream.,Ca phẫu thuật diễn ra tuyệt vời.,Everything went like a dream.,Mọi thứ đều diễn ra hoàn hảo.,C1,,,,,The operation went _____________.,Everything went _____________.,hotheaded,nóng nảy,outrun,chạy nhanh hơn,criminology,tội phạm học,miserly,keo kiệt,squabble,cãi nhau chí chóe,Idioms for everyday situations and feelings
like clockwork,ˌlaɪk ˈklɒkwɜːk,phrase,đều đặn,very regularly,The event went like clockwork.,Sự kiện diễn ra đều đặn như đồng hồ.,Everything is working like clockwork.,Mọi thứ đều hoạt động chính xác.,C1,,,,,The event went _____________.,Everything is working _____________.,keep an eye on,để mắt tới,setup,"cách bố trí, sự thiết lập",cybercafe,quán cà phê internet,moisten,làm ẩm,stammer,sự nói lắp,Idioms for everyday situations and feelings
on cloud nine,ˌɒn ˌklaʊd ˈnaɪn,phrase,trên chín tầng mây,extremely happy,She was on cloud nine.,Cô ấy trên chín tầng mây.,I'm on cloud nine after the good news.,Tôi mừng như phát điên sau tin tốt.,C1,,,,,She was _____________.,I'm _____________ after the good news.,on the ball,"nhanh nhẹn, nhạy bén, cảnh giác",upend,đảo lộn,guesstimate,ước chừng,occupant,người cư ngụ,stutter,nói lắp bắp,Idioms for everyday situations and feelings
on top of the world,ˌɒn ˌtɒp əv ðə ˈwɜːld,phrase,vô cùng hạnh phúc,extremely happy,She felt on top of the world.,Cô ấy cảm thấy vô cùng hạnh phúc.,I am on top of the world.,Tôi lâng lâng hạnh phúc.,C1,,,,,She felt _____________.,I am _____________.,see the light,nhận ra sự thật,breakout,"sự bùng nổ, sự vượt ngục",heliport,sân đỗ trực thăng,redden,làm đỏ lên,whine,"than vãn, rên rỉ",Idioms for everyday situations and feelings
sick to the back teeth with,ˌsɪk tə ðə ˌbæk ˈtiːθ wɪð,phrase,chán ngấy,extremely fed up,I'm sick to the back teeth with people who are always late.,Tôi chán ngấy đến tận cổ những người luôn đến muộn.,He is sick to the back teeth with the traffic in this city.,Anh ấy bực bội đến tận cổ vì giao thông ở thành phố này.,C1,,,,,I'm _____________ people who are always late.,He is _____________ the traffic in this city.,shed light on,làm sáng tỏ,moist,ẩm ướt,monocycle,xe đạp một bánh,sweeten,làm ngọt,cf.,so sánh với,Idioms for everyday situations and feelings
up and running,ˌʌp ən ˈrʌnɪŋ,adjective,hoạt động trơn tru,functioning,The new system is up and running.,Hệ thống mới đã hoạt động trơn tru.,I need to get the computer up and running.,Tôi cần làm cho máy tính hoạt động.,C1,,,,,The new system is _____________.,I need to get the computer _____________.,throw light on,làm sáng tỏ,topic,"đề tài, chủ đề thảo luận",monograph,chuyên khảo,woolen,"bằng len, làm từ len",et al.,và những người khác,Idioms for everyday situations and feelings
