Từ vựng,IPA,Từ loại,Nghĩa Tiếng Việt,Nghĩa Tiếng Anh,Ví dụ,Nghĩa ví dụ,Ví dụ,Nghĩa ví dụ,Trình độ,Audio từ vựng,Ảnh từ vựng,Ảnh ví dụ,Ảnh ví dụ,Đục lỗ ví dụ,Đục lỗ ví dụ,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,topic
plus,/plʌs/,preposition,"Cộng, thêm",Used to show that one number or amount is added to another.,The total cost is the price of the item plus tax.,Tổng chi phí là giá của sản phẩm cộng với thuế.,Your salary will be basic pay plus commission.,Lương của bạn sẽ là lương cơ bản cộng với hoa hồng.,A2,,,,,The total cost is the price of the item _____________ tax.,Your salary will be basic pay _____________ commission.,what is more,"thêm vào đó, quan trọng hơn là",contrast,"Tương phản, đối chiếu",provoke,"gây ra, khơi gợi (phản ứng)",generate,"tạo ra, sinh ra",target,mục tiêu,Addition
apart from,/əˈpɑːt frəm/,preposition,"Ngoài ... ra, bên cạnh đó.",Except for; in addition to.,"Apart from the budget, the project plan looks feasible.","Ngoài ngân sách ra, kế hoạch dự án có vẻ khả thi.","Apart from regular duties, she also mentors new interns.","Ngoài nhiệm vụ thường xuyên ra, cô ấy còn hướng dẫn thực tập sinh mới.",B1,,,,,"_____________ the budget, the project plan looks feasible.","_____________ regular duties, she also mentors new interns.",together with,"cùng với, cộng với",quite,"khá, hoàn toàn",bring about,"mang lại, gây ra",arise,"phát sinh, nảy sinh",obligation,"nghĩa vụ, bổn phận",Addition
equally,/ˈiːkwəli/,adverb,"một cách bằng nhau, cũng như vậy",to the same degree or amount,The money will be divided equally between the three charities.,Số tiền sẽ được chia đều cho ba tổ chức từ thiện.,The prize money will be divided equally among the winners.,Tiền thưởng sẽ được chia đều cho những người chiến thắng.,B2,,,,,The money will be divided _____________ between the three charities.,The prize money will be divided _____________ among the winners.,to boot,"thêm vào đó, vả lại",although,"Mặc dù, tuy nhiên.",stem from,"bắt nguồn từ, xuất phát từ",aim,"Nhắm tới, hướng tới, nhắm",go wrong,"Sai sót, hỏng hóc, trục trặc",Addition
in addition to,/ɪn əˈdɪʃ.ən tuː/,preposition,"bên cạnh, thêm vào đó",used to add another piece of information,In addition to his salary,he gets a bonus.,"In addition to his regular salary, he also receives a generous bonus.","Bên cạnh, thêm vào đó mức lương thường xuyên, anh ấy còn nhận được một khoản tiền thưởng hậu hĩnh.",B1,,,,,_____________ his salary,"_____________ his regular salary, he also receives a generous bonus.",moreover,hơn thế nữa,on the contrary,ngược lại,prompt,"thúc đẩy, khiến cho",lead,"dẫn dắt, dẫn đầu",succeed,Thành công,Addition
additionally,/əˈdɪʃənəli/,Adverb,Thêm vào đó / Ngoài ra,In a way that is more than was first mentioned or is usual,"The new factory will create over 200 jobs in the local area. Additionally, it will generate significant tax revenue for the council.","Nhà máy mới sẽ tạo ra hơn 200 việc làm cho khu vực địa phương. Thêm vào đó, nó sẽ tạo ra nguồn thu thuế đáng kể cho hội đồng.","The seminar will cover the main theories of macroeconomics. Additionally, there will be a workshop on applying these models to current policy issues.","Hội thảo sẽ bao gồm các lý thuyết chính của kinh tế học vĩ mô. Ngoài ra, sẽ có một buổi hội thảo thực hành về việc áp dụng các mô hình này vào các vấn đề chính sách hiện tại.",B1,,,,,"The new factory will create over 200 jobs in the local area. _____________, it will generate significant tax revenue for the council.","The seminar will cover the main theories of macroeconomics. _____________, there will be a workshop on applying these models to current policy issues.",in addition,"ngoài ra, thêm vào đó",accept,"Chấp nhận, đồng ý (nhận)",world of difference,khác biệt một trời một vực,reason,lý do,ambition,tham vọng,Addition
response,rɪˈspɒns,noun,"phản hồi, đáp lại",an answer or reaction,I'm waiting for a response to my email.,Tôi đang chờ một phản hồi cho email của mình.,His response to the question was very clear.,Câu trả lời của anh ấy cho câu hỏi rất rõ ràng.,B1,,,,,I'm waiting for a _____________ to my email.,His _____________ to the question was very clear.,besides,"ngoài ra, vả lại",opposite,đối diện,poles apart,khác biệt hoàn toàn,because,Bởi vì.,achieve,đạt được,Referring words
matter,/ˈmætə(r)/,verb,"có ý nghĩa, quan trọng",to be important or have an effect,The physicist studied the properties of matter.,Nhà vật lý đã nghiên cứu các tính chất của vật chất.,The matter of his unexpected absence was never fully explained.,Vấn đề về sự vắng mặt bất ngờ của anh ấy chưa bao giờ được giải thích đầy đủ.,B1,,,,,The physicist studied the properties of _____________.,The _____________ of his unexpected absence was never fully explained.,as well,"cũng vậy, cũng thế",concede,"thừa nhận, nhượng bộ",on the other hand,mặt khác,since,Kể từ; bởi vì.,come off,"bong ra, tróc ra",Referring words
topic,ˈtɒpɪk,noun,chủ đề,a subject you talk or write about,The main topic of the meeting was the budget.,Chủ đề chính của cuộc họp là ngân sách.,I found the topic very interesting.,Tôi thấy chủ đề rất thú vị.,B2,,,,,The main _____________ of the meeting was the budget.,I found the _____________ very interesting.,and so on,vân vân,reverse,"đảo ngược, thay đổi hoàn toàn (quyết định)",after all,"dù sao đi nữa, xét cho cùng",due to,"do, bởi vì",compromise,"làm tổn hại, gây nguy hiểm",Referring words
state of affairs,ˌsteɪt əv əˈfeəz,noun,tình trạng sự việc,the general situation,The current state of affairs is worrying.,Tình trạng sự việc hiện tại thật đáng lo ngại.,I'm not happy with this state of affairs.,Tôi không hài lòng với tình hình này.,C1,,,,,The current _____________ is worrying.,I'm not happy with this _____________.,and so forth,vân vân và vân vân,what is more,"thêm vào đó, quan trọng hơn là",admittedly,phải thừa nhận là,view,"Tầm nhìn, quan điểm, cảnh",prior to,trước khi,Referring words
approach,/əˈprəʊtʃ/,Verb,"Tiếp cận (vấn đề), liên hệ (đề nghị)",To come near to somebody/something in distance or time; to speak to somebody about something,"The deadline is approaching, so we need to work faster.","Thời hạn đang đến gần, vì vậy chúng ta cần làm việc nhanh hơn.",The deadline is rapidly approaching.,Hạn chót đang đến rất nhanh.,B2,,,,,"The deadline is _____________, so we need to work faster.",The deadline is rapidly _____________.,along with,cùng với,together with,"cùng với, cộng với",nevertheless,"tuy nhiên, tuy vậy",cause,nguyên nhân,in the meantime,"trong lúc chờ đợi, trong khi đó",Referring words
assessment,/əˈsesmənt/,Noun,"Sự đánh giá, bài đánh giá.",An opinion or judgement about someone or something that has been thought about very carefully.,The teacher's assessment helped improve my writing.,Đánh giá của giáo viên giúp cải thiện kỹ năng viết của tôi.,"The assessment of the storm damage took several weeks, as inspectors had to visit every affected property.","Việc đánh giá thiệt hại do cơn bão gây ra đã mất vài tuần, vì các thanh tra viên phải đến thăm từng tài sản bị ảnh hưởng.",B2,,,,,The teacher's _____________ helped improve my writing.,"The _____________ of the storm damage took several weeks, as inspectors had to visit every affected property.",alongside,"cùng với, bên cạnh",to boot,"thêm vào đó, vả lại",acknowledge,thừa nhận,spark,"khơi mào, châm ngòi, kích hoạt",formerly,"trước kia, nguyên là",Referring words
evaluation,/ɪˌvæl.juˈeɪ.ʃən/,noun,Sự đánh giá,"The act of judging or calculating the quality, importance, amount, or value of something.",A thorough evaluation of the new software is required.,Một sự đánh giá kỹ lưỡng về phần mềm mới là cần thiết.,The evaluation of employee performance is conducted annually.,Việc đánh giá hiệu suất nhân viên được tiến hành hàng năm.,B2,,,,,A thorough _____________ of the new software is required.,The _____________ of employee performance is conducted annually.,likewise,Tương tự như vậy,moreover,hơn thế nữa,admit,"Thừa nhận, cho vào",provoke,"gây ra, khơi gợi (phản ứng)",early on,"ngay từ đầu, giai đoạn đầu",Referring words
question,/ˈkwestʃən/,noun,Câu hỏi,"a sentence, phrase or word that asks for information",Do you have any questions about the contract?,Bạn có câu hỏi nào về hợp đồng không?,The interviewer asked some difficult questions.,Người phỏng vấn đã hỏi một số câu hỏi khó.,A2,,,,,Do you have any _____________ about the contract?,The interviewer asked some difficult _____________.,furthermore,"Hơn nữa, thêm vào đó.",in addition,"ngoài ra, thêm vào đó",contrast,"Tương phản, đối chiếu",bring about,"mang lại, gây ra",at some point,vào một lúc nào đó,Referring words
issue,/ˈɪʃuː/,verb,"ban hành, phát hành",to give or provide something officially,Have you seen the latest issue of that magazine?,Bạn đã xem số báo mới nhất của tạp chí đó chưa?,She raised an important issue about workplace safety.,Cô ấy đã nêu lên một vấn đề quan trọng về an toàn lao động.,B1,,,,,Have you seen the latest _____________ of that magazine?,She raised an important _____________ about workplace safety.,further,xa hơn (về thời gian),besides,"ngoài ra, vả lại",quite,"khá, hoàn toàn",stem from,"bắt nguồn từ, xuất phát từ",subsequently,"sau đó, tiếp theo",Referring words
claim,/kleɪm/,verb,"Tuyên bố, yêu sách, đòi bồi thường",to say that something is true although it has not been proved and other people may not believe it; to demand or ask for something because you believe it is your legal right to own or to have it,The car crash claimed three lives.,Vụ tai nạn xe hơi đã cướp đi sinh mạng của ba người.,He claims to have seen a ghost in the old house.,Anh ta tuyên bố đã nhìn thấy một con ma trong ngôi nhà cũ.,B1,,,,,The car crash _____________ three lives.,He _____________ to have seen a ghost in the old house.,plus,"Cộng, thêm",as well,"cũng vậy, cũng thế",although,"Mặc dù, tuy nhiên.",prompt,"thúc đẩy, khiến cho",following,"sau khi, sau (kết quả của)",Referring words
difficulty,/ˈdɪfɪkəlti/,noun,"khó khăn, trở ngại",a problem; something that is hard to deal with or understand,We had great difficulty finding a good supplier.,Chúng tôi gặp rất nhiều khó khăn trong việc tìm nhà cung cấp tốt.,The main difficulty lies in funding.,Khó khăn chính nằm ở vấn đề tài trợ.,A2,,,,,We had great _____________ finding a good supplier.,The main _____________ lies in funding.,apart from,"Ngoài ... ra, bên cạnh đó.",and so on,vân vân,on the contrary,ngược lại,world of difference,khác biệt một trời một vực,occasion,"Dịp, cơ hội",Referring words
situation,/ˌsɪtʃuˈeɪʃn/,noun,"tình huống, hoàn cảnh",all the circumstances and things that are happening at a particular time and in a particular place,The current economic situation is challenging for businesses.,Tình hình kinh tế hiện tại đầy thách thức đối với các doanh nghiệp.,She handled the difficult situation with the customer very well.,Cô ấy đã xử lý tình huống khó khăn với khách hàng rất tốt.,A2,,,,,The current economic _____________ is challenging for businesses.,She handled the difficult _____________ with the customer very well.,equally,"một cách bằng nhau, cũng như vậy",and so forth,vân vân và vân vân,accept,"Chấp nhận, đồng ý (nhận)",poles apart,khác biệt hoàn toàn,previously,"trước đây, trước đó",Referring words
fact,/fækt/,noun,"sự thật, sự việc","a thing that is known to be true, especially when it can be proved",The report is based on facts and data.,Báo cáo dựa trên sự thật và dữ liệu.,It is a fact that smoking causes health problems.,Đó là một sự thật rằng hút thuốc gây ra vấn đề sức khỏe.,A2,,,,,The report is based on _____________ and data.,It is a _____________ that smoking causes health problems.,in addition to,"bên cạnh, thêm vào đó",along with,cùng với,opposite,đối diện,on the other hand,mặt khác,meanwhile,"trong lúc đó, trong khi đó",Referring words
